Date,Sequence Number,Service Provider Name,Location,Type,Discount Sum,Amount,Balance
"07 September 2026 01:31 p.m.","0","GO Transit","Burlington GO Rail","Tap Off","2.16","$7.74","$87.05"
"07 September 2026 12:33 p.m.","1","GO Transit","Union Station Rail","Tap On","0","$3.70","$94.79"
"04 September 2026 09:41 a.m.","0","Union Pearson Express","Union Station","Tap Off","0","$0.00","$98.49"
"04 September 2026 09:15 a.m.","1","Union Pearson Express","Pearson Station","Tap On","0","$9.25","$98.49"
"01 September 2026 08:10 a.m.","0","Union Pearson Express","Pearson Station","Tap Off","0","$0.00","$107.74"
"01 September 2026 07:44 a.m.","1","Union Pearson Express","Union Station","Tap On","0","$9.25","$107.74"
"31 August 2026 06:20 p.m.","0","PRESTO System","","Load Amount","0","$50.00","$116.99"
"30 August 2026 07:58 p.m.","0","GO Transit","Union Station Rail","Tap Off","2.16","$7.74","$66.99"
"30 August 2026 07:02 p.m.","1","GO Transit","Aldershot GO Rail","Tap On","0","$3.70","$74.73"
"28 August 2026 10:07 a.m.","0","GO Transit","Aldershot GO Rail","Tap Off","2.16","$7.74","$78.43"
"28 August 2026 09:16 a.m.","1","GO Transit","Union Station Rail","Tap On","0","$3.70","$86.17"
"26 August 2026 10:30 a.m.","0","PRESTO System","","Load Amount","0","$80.00","$89.87"
"24 August 2026 04:38 p.m.","0","GO Transit","Union Station Rail","Fare Adjustment – Tap Off Not Detected","0","$10.05","$9.87"
"24 August 2026 03:12 p.m.","1","GO Transit","West Harbour GO Rail","Tap On","0","$3.70","$19.92"
"21 August 2026 06:57 p.m.","0","GO Transit","West Harbour GO Rail","Tap Off","2.16","$7.74","$23.62"
"21 August 2026 05:40 p.m.","1","GO Transit","Union Station Rail","Tap On","0","$3.70","$31.36"
"17 August 2026 11:57 p.m.","0","Union Pearson Express","Union Station","Tap Off","0","$0.00","$35.06"
"17 August 2026 11:31 p.m.","1","Union Pearson Express","Pearson Station","Tap On","0","$9.25","$35.06"
"14 August 2026 05:46 a.m.","0","Union Pearson Express","Pearson Station","Tap Off","0","$0.00","$44.31"
"14 August 2026 05:18 a.m.","1","Union Pearson Express","Union Station","Tap On","0","$9.25","$44.31"
"13 August 2026 08:58 a.m.","0","GO Transit","Union Station Rail","Tap Off","2.16","$7.74","$53.56"
"13 August 2026 08:05 a.m.","1","GO Transit","Burlington GO Rail","Tap On","0","$3.70","$61.30"
"10 August 2026 06:35 p.m.","0","GO Transit","Burlington GO Rail","Tap Off","2.16","$7.74","$65.00"
"10 August 2026 05:44 p.m.","1","GO Transit","Union Station Rail","Tap On","0","$3.70","$72.74"
"06 August 2026 07:12 p.m.","0","GO Transit","Union Station Rail","Tap Off","2.16","$7.74","$76.44"
"06 August 2026 06:18 p.m.","1","GO Transit","Aldershot GO Rail","Tap On","0","$3.70","$84.18"
"04 August 2026 10:01 a.m.","0","GO Transit","Aldershot GO Rail","Tap Off","2.16","$7.74","$87.88"
"04 August 2026 09:10 a.m.","1","GO Transit","Union Station Rail","Tap On","0","$3.70","$95.62"
"01 August 2026 09:05 a.m.","0","PRESTO System","","Load Amount","0","$60.00","$99.32"
"30 July 2026 09:34 a.m.","0","GO Transit","Aldershot GO Rail","Tap Off","2.16","$7.74","$39.32"
"30 July 2026 08:40 a.m.","1","GO Transit","Union Station Rail","Tap On","0","$3.70","$47.06"
"27 July 2026 10:12 p.m.","0","Union Pearson Express","Union Station","Tap Off","0","$0.00","$50.76"
"27 July 2026 09:46 p.m.","1","Union Pearson Express","Pearson Station","Tap On","0","$9.25","$50.76"
